prompt,label
a wooden barrel half-full of water,Prop
a scroll tied with a ribbon,Prop
a magnifying glass with brass frame,Prop
a set of alchemy vials on a rack,Prop
a dreamcatcher hanging in doorway,Prop
an hourglass with golden sand,Prop
a ship wheel mounted on a post,Prop
a broken catapult arm,Prop
a stack of stone bricks,Prop
a fire elemental with swirling flames,Creature
a tree-like wood spirit,Creature
a ghostly apparition in white robes,Creature
a half-spider half-human creature,Creature
a mutant wolf with three eyes,Creature
a mechanical spider robot,Creature
a mole man with shovel hands,Creature
a seaweed wrapped undead pirate,Creature
a crystal golem glowing cyan,Creature
a horned serpent with wings,Creature
a sharp longsword with silver blade,Weapon
a war lance with a pennant,Weapon
a boar spear with crossguard,Weapon
a fan blade throwing weapon,Weapon
an ice spike conjured by magic,Weapon
a blunderbuss pistol,Weapon
a repeater crossbow,Weapon
a ritual obsidian dagger,Weapon
a harpoon gun for whaling,Weapon
a fire lance primitive gun,Weapon
a convertible sports car,Vehicle
a spacecraft re-entry capsule,Vehicle
a sailing catamaran,Vehicle
a war elephant with a howdah,Vehicle
an old steam tractor,Vehicle
a gravity bike hovering above ground,Vehicle
a nuclear powered submarine,Vehicle
a four-wheeled ATV quad bike,Vehicle
an armored horse-drawn siege tower,Vehicle
a small prop airplane,Vehicle
a stone well bucket and rope,Prop
a woven basket with a lid,Prop
a painted ceramic bowl,Prop
a blacksmith's tongs,Prop
a rope coiled on the floor,Prop
a pirate treasure map in a bottle,Prop
a large bronze bell,Prop
a wooden chest without a lock,Prop
a ship's telescope,Prop
a compass on a leather strap,Prop
a dire wolf with pack markings,Creature
a jellyfish the size of a house,Creature
a roc bird enormous and ancient,Creature
a blood elf archer,Creature
an insectoid alien warrior,Creature
a deep sea angler creature with lure,Creature
a spectral knight in glowing armor,Creature
a flesh golem made of stitched parts,Creature
a winged serpent from mythology,Creature
a four-armed giant demon,Creature
a dark elf assassin in shadow armor,Creature
a giant praying mantis,Creature
a swamp hag with green skin,Creature
a humanoid plant creature,Creature
a lightning hawk made of electricity,Creature
a giant armadillo with armored plates,Creature
a werewolf in partial transformation,Creature
a dragon wyrmling hatching from egg,Creature
a stone titan buried in the earth,Creature
a mushroom headed forest sprite,Creature
a plasma shotgun,Weapon
a void bow that fires dark arrows,Weapon
a graviton lance,Weapon
an acid thrower backpack weapon,Weapon
a bone scythe,Weapon
a sonic disruptor pistol,Weapon
a blade gauntlet on a fist,Weapon
a nano-wire whip,Weapon
a magnetic rail pistol,Weapon
a cryo grenade launcher,Weapon
a stealth drone vehicle,Vehicle
a whale-shaped submarine,Vehicle
a manta ray shaped aircraft,Vehicle
a rickshaw pulled by a robot,Vehicle
a glider with no engine,Vehicle
a jet ski on ocean waves,Vehicle
a futuristic garbage collection pod,Vehicle
a tuk-tuk with a mounted turret,Vehicle
a dog-sled on ice,Vehicle
a vintage biplane with two seats,Vehicle
a wine rack full of bottles,Prop
a decorated tapestry on a wall,Prop
a rustic wooden bench,Prop
a stone altar with offerings,Prop
a large iron padlock,Prop
a hanging cage with a prisoner,Prop
a decorated ceramic tile floor piece,Prop
a candlestick with melted wax,Prop
a bookcase with hidden door,Prop
a pile of gold ingots,Prop
a chimera wolf with snake tail,Creature
a cyber-wolf with mechanical legs,Creature
a blood knight with red armor,Creature
a harpy with eagle wings,Creature
a brain creature with tentacles,Creature
a mimic creature disguised as a chest,Creature
a giant toad with poison sacs,Creature
a bone dragon skeleton,Creature
a patchwork robot creature,Creature
a star-being made of cosmic dust,Creature
a warhorse in battle armor,Vehicle
a battle barge with battering ram,Vehicle
a steam-powered walker mech,Vehicle
a dragon saddle mount,Vehicle
a massive war elephant,Vehicle
a fire dart gun,Weapon
a wind blade throwing weapon,Weapon
a sickle with a chain attached,Weapon
a knuckle duster with spikes,Weapon
a twin crossbow pistol,Weapon
a rusted portcullis gate,Prop
a mossy stone staircase,Prop
a wooden drawbridge lowered over moat,Prop
a torch bracket on a dungeon wall,Prop
a pile of bones on the floor,Prop
a vine-covered ancient ruin wall,Prop
a carved totem pole,Prop
a market merchant's weighing scale,Prop
a spinning top toy,Prop
a crude oil lamp burning orange,Prop
a cursed specter in tattered shroud,Creature
a giant caterpillar in silk cocoon,Creature
a thunder lizard prehistoric creature,Creature
a cave bat colony hanging upside down,Creature
a sand golem made of desert dust,Creature
a two-headed ogre,Creature
a scorpion man hybrid,Creature
a river serpent with whiskers,Creature
a plague rat enlarged by magic,Creature
a djinn emerging from a lamp,Creature
a silver arrow enchanted,Weapon
a thunder hammer glowing with lightning,Weapon
a siege ballista bolt,Weapon
a dragon scale shield,Weapon
a shadow blade made of darkness,Weapon
a poison dart frog gun,Weapon
a cursed chain flail,Weapon
a runic greatsword,Weapon
a spectral bow that fires ghost arrows,Weapon
a mirror shield that reflects spells,Weapon
a gondola boat in fog,Vehicle
a wind-powered land yacht,Vehicle
a pack mule with saddlebags,Vehicle
a mechanical elephant with steam,Vehicle
a whale oil submarine lantern boat,Vehicle
a hanging lantern on an iron hook,Prop
a cracked wooden shield on a wall,Prop
a shattered glass window frame,Prop
a pile of ash and ember,Prop
a prison door with bars,Prop
a bridge stone arch over a river,Prop
a well rope frayed at the end,Prop
a crumbling stone arch ruin,Prop
a simple wooden cross marker,Prop
a clay pot with a painted sun,Prop
a naga snake deity with four arms,Creature
a toad demon with a crown,Creature
a titan crab walking on seafloor,Creature
a bat-winged lich hovering,Creature
a werebear in half-transformation,Creature
a coral elemental from the sea,Creature
a vine monster engulfing a tree,Creature
a spectral wolf howling in moonlight,Creature
a giant moth with luminous wings,Creature
a sea turtle the size of an island,Creature
